pair_id,shape_a_name,shape_b_name,coupling_state,sample_position_mm,numerical_distance_tolerance_mm,intersection_volume_tolerance_mm3,required_clearance_mm,note,calculation_api,intersection_volume_mm3,intersection_solid_count,minimum_distance_mm,nearest_point_a_x,nearest_point_a_y,nearest_point_a_z,nearest_point_b_x,nearest_point_b_y,nearest_point_b_z,classification,result,error,sweep_method,sampling_interval_mm,engagement_overlap_mm,engagement_reference_satisfied
SWEEP-0011,RIGHT_COUPLING_SLEEVE_SAMPLE,LEFT_COUPLING_SLEEVE_SAMPLE,FULL_SWEEP_SAMPLED,0.0,0.05,0.01,5.0,sampled opposite sleeve,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,16.0,150.0,-8.0,330.0,150.0,8.0,330.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.0,False
SWEEP-0012,RIGHT_COUPLING_SLEEVE_SAMPLE,LEFT_PTO_STUB,FULL_SWEEP_SAMPLED,0.0,0.05,0.01,5.0,sampled opposite stub,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,26.006922155,150.0,-8.0,325.6,150.0,18.0,325.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.0,False
SWEEP-0013,RIGHT_COUPLING_SLEEVE_SAMPLE,CENTRAL_UNIT_FRAME,FULL_SWEEP_SAMPLED,0.0,0.05,0.01,5.0,sampled central frame,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,40.0,156.0,-8.0,328.0,180.0,-8.0,360.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.0,False
SWEEP-0014,RIGHT_COUPLING_SLEEVE_SAMPLE,CENTRAL_ALIGNMENT_GUIDE_RIGHT,FULL_SWEEP_SAMPLED,0.0,0.05,0.01,5.0,sampled own alignment guide,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,-8.0,320.0,165.0,-8.0,320.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.0,False
SWEEP-0015,RIGHT_COUPLING_SLEEVE_SAMPLE,CENTRAL_MECHANICAL_LOCK,FULL_SWEEP_SAMPLED,0.0,0.05,0.01,5.0,sampled lock,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,30.459856648,157.661915,-16.0,326.426123,181.0,-16.0,346.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.0,False
SWEEP-0016,RIGHT_COUPLING_SLEEVE_SAMPLE,RIGHT_GUARD_FIXED,FULL_SWEEP_SAMPLED,0.0,0.05,0.01,5.0,sampled guard,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,17.262676502,150.0,-18.0,330.0,150.0,-35.0,333.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.0,False
SWEEP-0017,RIGHT_COUPLING_SLEEVE_SAMPLE,WIRING_KEEP_OUT,FULL_SWEEP_SAMPLED,0.0,0.05,0.01,10.0,sampled wiring,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,26.055512755,158.320503,-8.0,325.547002,180.0,-8.0,340.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.0,False
SWEEP-0018,RIGHT_COUPLING_SLEEVE_SAMPLE,UNIT_INSTALLATION_ENVELOPE,FULL_SWEEP_SAMPLED,0.0,0.05,0.01,5.0,sampled insertion,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,-8.0,320.0,165.0,-8.0,320.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.0,False
SWEEP-0019,RIGHT_COUPLING_SLEEVE_SAMPLE,UNIT_REMOVAL_ENVELOPE,FULL_SWEEP_SAMPLED,0.0,0.05,0.01,5.0,sampled removal,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,-8.0,320.0,165.0,-8.0,320.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.0,False
SWEEP-0020,RIGHT_COUPLING_SLEEVE_SAMPLE,RIGHT_UNIT_INPUT_SUPPORT,FULL_SWEEP_SAMPLED,0.0,0.05,0.01,5.0,sampled input support,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,15.0,160.0,-8.0,320.0,175.0,-8.0,320.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.0,False
SWEEP-0021,LEFT_COUPLING_SLEEVE_SAMPLE,RIGHT_COUPLING_SLEEVE_SAMPLE,FULL_SWEEP_SAMPLED,0.5,0.05,0.01,5.0,sampled opposite sleeve,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,17.0,150.0,8.5,330.0,150.0,-8.5,330.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.5,False
SWEEP-0022,LEFT_COUPLING_SLEEVE_SAMPLE,RIGHT_PTO_STUB,FULL_SWEEP_SAMPLED,0.5,0.05,0.01,5.0,sampled opposite stub,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,26.506791583,150.0,8.5,325.6,150.0,-18.0,325.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.5,False
SWEEP-0023,LEFT_COUPLING_SLEEVE_SAMPLE,CENTRAL_UNIT_FRAME,FULL_SWEEP_SAMPLED,0.5,0.05,0.01,5.0,sampled central frame,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,40.0,156.0,18.5,328.0,180.0,18.5,360.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.5,False
SWEEP-0024,LEFT_COUPLING_SLEEVE_SAMPLE,CENTRAL_ALIGNMENT_GUIDE_LEFT,FULL_SWEEP_SAMPLED,0.5,0.05,0.01,5.0,sampled own alignment guide,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,18.5,320.0,165.0,18.5,320.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.5,False
SWEEP-0025,LEFT_COUPLING_SLEEVE_SAMPLE,CENTRAL_MECHANICAL_LOCK,FULL_SWEEP_SAMPLED,0.5,0.05,0.01,5.0,sampled lock,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,30.459856648,157.661915,16.0,326.426123,181.0,16.0,346.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.5,False
SWEEP-0026,LEFT_COUPLING_SLEEVE_SAMPLE,LEFT_GUARD_FIXED,FULL_SWEEP_SAMPLED,0.5,0.05,0.01,5.0,sampled guard,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,16.770509831,150.0,18.5,330.0,150.0,35.0,333.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.5,False
SWEEP-0027,LEFT_COUPLING_SLEEVE_SAMPLE,WIRING_KEEP_OUT,FULL_SWEEP_SAMPLED,0.5,0.05,0.01,10.0,sampled wiring,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,26.055512755,158.320503,18.5,325.547002,180.0,18.5,340.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.5,False
SWEEP-0028,LEFT_COUPLING_SLEEVE_SAMPLE,UNIT_INSTALLATION_ENVELOPE,FULL_SWEEP_SAMPLED,0.5,0.05,0.01,5.0,sampled insertion,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,18.5,320.0,165.0,18.5,320.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.5,False
SWEEP-0029,LEFT_COUPLING_SLEEVE_SAMPLE,UNIT_REMOVAL_ENVELOPE,FULL_SWEEP_SAMPLED,0.5,0.05,0.01,5.0,sampled removal,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,18.5,320.0,165.0,18.5,320.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.5,False
SWEEP-0030,LEFT_COUPLING_SLEEVE_SAMPLE,LEFT_UNIT_INPUT_SUPPORT,FULL_SWEEP_SAMPLED,0.5,0.05,0.01,5.0,sampled input support,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,15.0,160.0,18.5,320.0,175.0,18.5,320.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.5,False
SWEEP-0031,RIGHT_COUPLING_SLEEVE_SAMPLE,LEFT_COUPLING_SLEEVE_SAMPLE,FULL_SWEEP_SAMPLED,0.5,0.05,0.01,5.0,sampled opposite sleeve,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,17.0,150.0,-8.5,330.0,150.0,8.5,330.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.5,False
SWEEP-0032,RIGHT_COUPLING_SLEEVE_SAMPLE,LEFT_PTO_STUB,FULL_SWEEP_SAMPLED,0.5,0.05,0.01,5.0,sampled opposite stub,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,26.506791583,150.0,-8.5,325.6,150.0,18.0,325.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.5,False
SWEEP-0033,RIGHT_COUPLING_SLEEVE_SAMPLE,CENTRAL_UNIT_FRAME,FULL_SWEEP_SAMPLED,0.5,0.05,0.01,5.0,sampled central frame,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,40.0,156.0,-8.5,328.0,180.0,-8.5,360.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.5,False
SWEEP-0034,RIGHT_COUPLING_SLEEVE_SAMPLE,CENTRAL_ALIGNMENT_GUIDE_RIGHT,FULL_SWEEP_SAMPLED,0.5,0.05,0.01,5.0,sampled own alignment guide,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,-8.5,320.0,165.0,-8.5,320.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.5,False
SWEEP-0035,RIGHT_COUPLING_SLEEVE_SAMPLE,CENTRAL_MECHANICAL_LOCK,FULL_SWEEP_SAMPLED,0.5,0.05,0.01,5.0,sampled lock,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,30.459856648,157.661915,-16.0,326.426123,181.0,-16.0,346.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.5,False
SWEEP-0036,RIGHT_COUPLING_SLEEVE_SAMPLE,RIGHT_GUARD_FIXED,FULL_SWEEP_SAMPLED,0.5,0.05,0.01,5.0,sampled guard,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,16.770509831,150.0,-18.5,330.0,150.0,-35.0,333.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.5,False
SWEEP-0037,RIGHT_COUPLING_SLEEVE_SAMPLE,WIRING_KEEP_OUT,FULL_SWEEP_SAMPLED,0.5,0.05,0.01,10.0,sampled wiring,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,26.055512755,158.320503,-8.5,325.547002,180.0,-8.5,340.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.5,False
SWEEP-0038,RIGHT_COUPLING_SLEEVE_SAMPLE,UNIT_INSTALLATION_ENVELOPE,FULL_SWEEP_SAMPLED,0.5,0.05,0.01,5.0,sampled insertion,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,-8.5,320.0,165.0,-8.5,320.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.5,False
SWEEP-0039,RIGHT_COUPLING_SLEEVE_SAMPLE,UNIT_REMOVAL_ENVELOPE,FULL_SWEEP_SAMPLED,0.5,0.05,0.01,5.0,sampled removal,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,-8.5,320.0,165.0,-8.5,320.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.5,False
SWEEP-0040,RIGHT_COUPLING_SLEEVE_SAMPLE,RIGHT_UNIT_INPUT_SUPPORT,FULL_SWEEP_SAMPLED,0.5,0.05,0.01,5.0,sampled input support,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,15.0,160.0,-8.5,320.0,175.0,-8.5,320.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,0.5,False
SWEEP-0041,LEFT_COUPLING_SLEEVE_SAMPLE,RIGHT_COUPLING_SLEEVE_SAMPLE,FULL_SWEEP_SAMPLED,1.0,0.05,0.01,5.0,sampled opposite sleeve,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,18.0,150.0,9.0,330.0,150.0,-9.0,330.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,1.0,False
SWEEP-0042,LEFT_COUPLING_SLEEVE_SAMPLE,RIGHT_PTO_STUB,FULL_SWEEP_SAMPLED,1.0,0.05,0.01,5.0,sampled opposite stub,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,27.006665844,150.0,9.0,325.6,150.0,-18.0,325.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,1.0,False
SWEEP-0043,LEFT_COUPLING_SLEEVE_SAMPLE,CENTRAL_UNIT_FRAME,FULL_SWEEP_SAMPLED,1.0,0.05,0.01,5.0,sampled central frame,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,40.0,156.0,19.0,328.0,180.0,19.0,360.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,1.0,False
SWEEP-0044,LEFT_COUPLING_SLEEVE_SAMPLE,CENTRAL_ALIGNMENT_GUIDE_LEFT,FULL_SWEEP_SAMPLED,1.0,0.05,0.01,5.0,sampled own alignment guide,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,19.0,320.0,165.0,19.0,320.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,1.0,False
SWEEP-0045,LEFT_COUPLING_SLEEVE_SAMPLE,CENTRAL_MECHANICAL_LOCK,FULL_SWEEP_SAMPLED,1.0,0.05,0.01,5.0,sampled lock,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,30.459856648,157.661915,16.0,326.426123,181.0,16.0,346.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,1.0,False
SWEEP-0046,LEFT_COUPLING_SLEEVE_SAMPLE,LEFT_GUARD_FIXED,FULL_SWEEP_SAMPLED,1.0,0.05,0.01,5.0,sampled guard,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,16.278820596,150.0,19.0,330.0,150.0,35.0,333.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,1.0,False
SWEEP-0047,LEFT_COUPLING_SLEEVE_SAMPLE,WIRING_KEEP_OUT,FULL_SWEEP_SAMPLED,1.0,0.05,0.01,10.0,sampled wiring,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,26.055512755,158.320503,19.0,325.547002,180.0,19.0,340.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,1.0,False
SWEEP-0048,LEFT_COUPLING_SLEEVE_SAMPLE,UNIT_INSTALLATION_ENVELOPE,FULL_SWEEP_SAMPLED,1.0,0.05,0.01,5.0,sampled insertion,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,19.0,320.0,165.0,19.0,320.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,1.0,False
SWEEP-0049,LEFT_COUPLING_SLEEVE_SAMPLE,UNIT_REMOVAL_ENVELOPE,FULL_SWEEP_SAMPLED,1.0,0.05,0.01,5.0,sampled removal,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,19.0,320.0,165.0,19.0,320.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,1.0,False
SWEEP-0050,LEFT_COUPLING_SLEEVE_SAMPLE,LEFT_UNIT_INPUT_SUPPORT,FULL_SWEEP_SAMPLED,1.0,0.05,0.01,5.0,sampled input support,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,15.0,160.0,19.0,320.0,175.0,19.0,320.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,1.0,False
SWEEP-0051,RIGHT_COUPLING_SLEEVE_SAMPLE,LEFT_COUPLING_SLEEVE_SAMPLE,FULL_SWEEP_SAMPLED,1.0,0.05,0.01,5.0,sampled opposite sleeve,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,18.0,150.0,-9.0,330.0,150.0,9.0,330.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,1.0,False
SWEEP-0052,RIGHT_COUPLING_SLEEVE_SAMPLE,LEFT_PTO_STUB,FULL_SWEEP_SAMPLED,1.0,0.05,0.01,5.0,sampled opposite stub,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,27.006665844,150.0,-9.0,325.6,150.0,18.0,325.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,1.0,False
SWEEP-0053,RIGHT_COUPLING_SLEEVE_SAMPLE,CENTRAL_UNIT_FRAME,FULL_SWEEP_SAMPLED,1.0,0.05,0.01,5.0,sampled central frame,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,40.0,156.0,-9.0,328.0,180.0,-9.0,360.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,1.0,False
SWEEP-0054,RIGHT_COUPLING_SLEEVE_SAMPLE,CENTRAL_ALIGNMENT_GUIDE_RIGHT,FULL_SWEEP_SAMPLED,1.0,0.05,0.01,5.0,sampled own alignment guide,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,-9.0,320.0,165.0,-9.0,320.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,1.0,False
SWEEP-0055,RIGHT_COUPLING_SLEEVE_SAMPLE,CENTRAL_MECHANICAL_LOCK,FULL_SWEEP_SAMPLED,1.0,0.05,0.01,5.0,sampled lock,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,30.459856648,157.661915,-16.0,326.426123,181.0,-16.0,346.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,1.0,False
SWEEP-0056,RIGHT_COUPLING_SLEEVE_SAMPLE,RIGHT_GUARD_FIXED,FULL_SWEEP_SAMPLED,1.0,0.05,0.01,5.0,sampled guard,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,16.278820596,150.0,-19.0,330.0,150.0,-35.0,333.0,CLEAR,PASS,,CONTINUOUS_CONSERVATIVE_SOLID_PLUS_0P5MM_ACTUAL_SAMPLES,0.5,1.0,False
