candidate_id,search_stage,search_resolution,pto_belt_shift_mm,drive_belt_shift_mm,inner_support_type,inner_support_thickness_mm,inner_kp000_shift_inward_mm,outer_kp000_shift_outward_mm,fastener_orientation,fastener_style,pto_nominal_clearance_mm,pto_residual_clearance_mm,drive_nominal_clearance_mm,drive_residual_clearance_mm,pulley_60t_to_fixed_mm,belt_to_wiring_mm,inner_support_center_gap_mm,track_outer_margin_mm,total_width_mm,left_pto_outer_end_y_mm,right_pto_outer_end_y_mm,belt_intersection_count,fastener_intersection_count,tool_access_intersection_count,clutch_intersection_count,track_intersection_count,aluminum_2020_stock_used,aluminum_2040_stock_used,added_part_count,total_y_change_mm,serviceability_score,score,status,rejection_reason
S1-Y-B-10.0-D-10.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-10.0,0.0,2020_UNCHANGED,20.0,-10.0,-10.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-14.5,-19.5,15.5,10.5,-9.0,9.5,28.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,30.0,4.0,-472.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-10.0-D-09.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-10.0,0.0,2020_UNCHANGED,20.0,-9.0,-9.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-13.5,-18.5,15.5,10.5,-8.0,9.5,26.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,28.0,4.0,-446.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-10.0-D-08.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-10.0,0.0,2020_UNCHANGED,20.0,-8.0,-8.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-12.5,-17.5,15.5,10.5,-7.0,9.5,24.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,26.0,4.0,-420.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-10.0-D-07.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-10.0,0.0,2020_UNCHANGED,20.0,-7.0,-7.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-11.5,-16.5,15.5,10.5,-6.0,9.5,22.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,24.0,4.0,-394.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-10.0-D-06.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-10.0,0.0,2020_UNCHANGED,20.0,-6.0,-6.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-10.5,-15.5,15.5,10.5,-5.0,9.5,20.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,22.0,4.0,-368.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-10.0-D-05.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-10.0,0.0,2020_UNCHANGED,20.0,-5.0,-5.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-9.5,-14.5,15.5,10.5,-4.0,9.5,18.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,20.0,4.0,-342.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-10.0-D-04.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-10.0,0.0,2020_UNCHANGED,20.0,-4.0,-4.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-8.5,-13.5,15.5,10.5,-3.0,9.5,16.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,18.0,4.0,-316.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-10.0-D-03.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-10.0,0.0,2020_UNCHANGED,20.0,-3.0,-3.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-7.5,-12.5,15.5,10.5,-2.0,9.5,14.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,16.0,4.0,-290.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-10.0-D-02.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-10.0,0.0,2020_UNCHANGED,20.0,-2.0,-2.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-6.5,-11.5,15.5,10.5,-1.0,9.5,12.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,14.0,4.0,-264.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-10.0-D-01.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-10.0,0.0,2020_UNCHANGED,20.0,-1.0,-1.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-5.5,-10.5,15.5,10.5,0.0,9.5,10.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,12.0,4.0,-238.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-10.0-D+00.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-10.0,0.0,2020_UNCHANGED,20.0,0.0,0.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-4.5,-9.5,15.5,10.5,1.0,9.5,8.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,10.0,4.0,-212.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-10.0-D+01.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-10.0,0.0,2020_UNCHANGED,20.0,1.0,1.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-3.5,-8.5,15.5,10.5,2.0,9.5,6.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,12.0,4.0,-198.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-10.0-D+02.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-10.0,0.0,2020_UNCHANGED,20.0,2.0,2.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-2.5,-7.5,15.5,10.5,3.0,9.5,4.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,14.0,4.0,-184.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-10.0-D+03.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-10.0,0.0,2020_UNCHANGED,20.0,3.0,3.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-1.5,-6.5,15.5,10.5,4.0,9.5,2.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,16.0,4.0,-170.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-10.0-D+04.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-10.0,0.0,2020_UNCHANGED,20.0,4.0,4.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-0.5,-5.5,15.5,10.5,5.0,9.5,0.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,18.0,4.0,-156.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-10.0-D+05.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-10.0,0.0,2020_UNCHANGED,20.0,5.0,5.0,V008_BASELINE_INWARD,STANDARD_RESERVED,0.5,-4.5,15.5,10.5,6.0,9.5,-2.0,8.5,290.0,145.0,-145.0,0,0,0,0,0,8,7,0,20.0,4.0,-142.0,FAIL,BELT_WIRING_LT_15;LEFT_RIGHT_INNER_SUPPORT_COLLISION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-10.0-D+06.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-10.0,0.0,2020_UNCHANGED,20.0,6.0,6.0,V008_BASELINE_INWARD,STANDARD_RESERVED,1.5,-3.5,15.5,10.5,7.0,9.5,-4.0,8.5,290.0,145.0,-145.0,0,0,0,0,0,8,7,0,22.0,4.0,-128.0,FAIL,BELT_WIRING_LT_15;LEFT_RIGHT_INNER_SUPPORT_COLLISION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-10.0-D+07.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-10.0,0.0,2020_UNCHANGED,20.0,7.0,7.0,V008_BASELINE_INWARD,STANDARD_RESERVED,2.5,-2.5,15.5,10.5,8.0,9.5,-6.0,8.5,290.0,145.0,-145.0,0,0,0,0,0,8,7,0,24.0,4.0,-114.0,FAIL,BELT_WIRING_LT_15;LEFT_RIGHT_INNER_SUPPORT_COLLISION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-10.0-D+08.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-10.0,0.0,2020_UNCHANGED,20.0,8.0,8.0,V008_BASELINE_INWARD,STANDARD_RESERVED,3.5,-1.5,15.5,10.5,9.0,9.5,-8.0,8.5,290.0,145.0,-145.0,0,0,0,0,0,8,7,0,26.0,4.0,-100.0,FAIL,BELT_WIRING_LT_15;LEFT_RIGHT_INNER_SUPPORT_COLLISION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-10.0-D+09.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-10.0,0.0,2020_UNCHANGED,20.0,9.0,9.0,V008_BASELINE_INWARD,STANDARD_RESERVED,4.5,-0.5,15.5,10.5,10.0,9.5,-10.0,8.5,290.0,145.0,-145.0,0,0,0,0,0,8,7,0,28.0,4.0,-86.0,FAIL,BELT_WIRING_LT_15;LEFT_RIGHT_INNER_SUPPORT_COLLISION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8
S1-Y-B-10.0-D+10.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-10.0,0.0,2020_UNCHANGED,20.0,10.0,10.0,V008_BASELINE_INWARD,STANDARD_RESERVED,5.5,0.5,15.5,10.5,11.0,9.5,-12.0,8.5,290.0,145.0,-145.0,0,0,0,0,0,8,7,0,30.0,4.0,-72.0,FAIL,BELT_WIRING_LT_15;LEFT_RIGHT_INNER_SUPPORT_COLLISION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8
S1-Y-B-09.0-D-10.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-9.0,0.0,2020_UNCHANGED,20.0,-10.0,-10.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-13.5,-18.5,15.5,10.5,-8.0,10.5,28.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,29.0,4.0,-449.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-09.0-D-09.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-9.0,0.0,2020_UNCHANGED,20.0,-9.0,-9.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-12.5,-17.5,15.5,10.5,-7.0,10.5,26.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,27.0,4.0,-423.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-09.0-D-08.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-9.0,0.0,2020_UNCHANGED,20.0,-8.0,-8.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-11.5,-16.5,15.5,10.5,-6.0,10.5,24.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,25.0,4.0,-397.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-09.0-D-07.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-9.0,0.0,2020_UNCHANGED,20.0,-7.0,-7.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-10.5,-15.5,15.5,10.5,-5.0,10.5,22.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,23.0,4.0,-371.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-09.0-D-06.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-9.0,0.0,2020_UNCHANGED,20.0,-6.0,-6.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-9.5,-14.5,15.5,10.5,-4.0,10.5,20.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,21.0,4.0,-345.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-09.0-D-05.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-9.0,0.0,2020_UNCHANGED,20.0,-5.0,-5.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-8.5,-13.5,15.5,10.5,-3.0,10.5,18.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,19.0,4.0,-319.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-09.0-D-04.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-9.0,0.0,2020_UNCHANGED,20.0,-4.0,-4.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-7.5,-12.5,15.5,10.5,-2.0,10.5,16.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,17.0,4.0,-293.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-09.0-D-03.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-9.0,0.0,2020_UNCHANGED,20.0,-3.0,-3.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-6.5,-11.5,15.5,10.5,-1.0,10.5,14.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,15.0,4.0,-267.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-09.0-D-02.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-9.0,0.0,2020_UNCHANGED,20.0,-2.0,-2.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-5.5,-10.5,15.5,10.5,0.0,10.5,12.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,13.0,4.0,-241.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-09.0-D-01.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-9.0,0.0,2020_UNCHANGED,20.0,-1.0,-1.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-4.5,-9.5,15.5,10.5,1.0,10.5,10.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,11.0,4.0,-215.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-09.0-D+00.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-9.0,0.0,2020_UNCHANGED,20.0,0.0,0.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-3.5,-8.5,15.5,10.5,2.0,10.5,8.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,9.0,4.0,-189.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-09.0-D+01.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-9.0,0.0,2020_UNCHANGED,20.0,1.0,1.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-2.5,-7.5,15.5,10.5,3.0,10.5,6.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,11.0,4.0,-175.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-09.0-D+02.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-9.0,0.0,2020_UNCHANGED,20.0,2.0,2.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-1.5,-6.5,15.5,10.5,4.0,10.5,4.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,13.0,4.0,-161.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-09.0-D+03.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-9.0,0.0,2020_UNCHANGED,20.0,3.0,3.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-0.5,-5.5,15.5,10.5,5.0,10.5,2.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,15.0,4.0,-147.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-09.0-D+04.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-9.0,0.0,2020_UNCHANGED,20.0,4.0,4.0,V008_BASELINE_INWARD,STANDARD_RESERVED,0.5,-4.5,15.5,10.5,6.0,10.5,0.0,8.5,290.0,145.0,-145.0,0,0,0,0,0,8,7,0,17.0,4.0,-133.0,FAIL,BELT_WIRING_LT_15;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-09.0-D+05.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-9.0,0.0,2020_UNCHANGED,20.0,5.0,5.0,V008_BASELINE_INWARD,STANDARD_RESERVED,1.5,-3.5,15.5,10.5,7.0,10.5,-2.0,8.5,290.0,145.0,-145.0,0,0,0,0,0,8,7,0,19.0,4.0,-119.0,FAIL,BELT_WIRING_LT_15;LEFT_RIGHT_INNER_SUPPORT_COLLISION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-09.0-D+06.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-9.0,0.0,2020_UNCHANGED,20.0,6.0,6.0,V008_BASELINE_INWARD,STANDARD_RESERVED,2.5,-2.5,15.5,10.5,8.0,10.5,-4.0,8.5,290.0,145.0,-145.0,0,0,0,0,0,8,7,0,21.0,4.0,-105.0,FAIL,BELT_WIRING_LT_15;LEFT_RIGHT_INNER_SUPPORT_COLLISION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-09.0-D+07.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-9.0,0.0,2020_UNCHANGED,20.0,7.0,7.0,V008_BASELINE_INWARD,STANDARD_RESERVED,3.5,-1.5,15.5,10.5,9.0,10.5,-6.0,8.5,290.0,145.0,-145.0,0,0,0,0,0,8,7,0,23.0,4.0,-91.0,FAIL,BELT_WIRING_LT_15;LEFT_RIGHT_INNER_SUPPORT_COLLISION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-09.0-D+08.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-9.0,0.0,2020_UNCHANGED,20.0,8.0,8.0,V008_BASELINE_INWARD,STANDARD_RESERVED,4.5,-0.5,15.5,10.5,10.0,10.5,-8.0,8.5,290.0,145.0,-145.0,0,0,0,0,0,8,7,0,25.0,4.0,-77.0,FAIL,BELT_WIRING_LT_15;LEFT_RIGHT_INNER_SUPPORT_COLLISION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8
S1-Y-B-09.0-D+09.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-9.0,0.0,2020_UNCHANGED,20.0,9.0,9.0,V008_BASELINE_INWARD,STANDARD_RESERVED,5.5,0.5,15.5,10.5,11.0,10.5,-10.0,8.5,290.0,145.0,-145.0,0,0,0,0,0,8,7,0,27.0,4.0,-63.0,FAIL,BELT_WIRING_LT_15;LEFT_RIGHT_INNER_SUPPORT_COLLISION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8
S1-Y-B-09.0-D+10.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-9.0,0.0,2020_UNCHANGED,20.0,10.0,10.0,V008_BASELINE_INWARD,STANDARD_RESERVED,6.5,1.5,15.5,10.5,12.0,10.5,-12.0,8.5,290.0,145.0,-145.0,0,0,0,0,0,8,7,0,29.0,4.0,-49.0,FAIL,BELT_WIRING_LT_15;LEFT_RIGHT_INNER_SUPPORT_COLLISION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8
S1-Y-B-08.0-D-10.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-8.0,0.0,2020_UNCHANGED,20.0,-10.0,-10.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-12.5,-17.5,15.5,10.5,-7.0,11.5,28.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,28.0,4.0,-426.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-08.0-D-09.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-8.0,0.0,2020_UNCHANGED,20.0,-9.0,-9.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-11.5,-16.5,15.5,10.5,-6.0,11.5,26.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,26.0,4.0,-400.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-08.0-D-08.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-8.0,0.0,2020_UNCHANGED,20.0,-8.0,-8.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-10.5,-15.5,15.5,10.5,-5.0,11.5,24.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,24.0,4.0,-374.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-08.0-D-07.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-8.0,0.0,2020_UNCHANGED,20.0,-7.0,-7.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-9.5,-14.5,15.5,10.5,-4.0,11.5,22.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,22.0,4.0,-348.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-08.0-D-06.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-8.0,0.0,2020_UNCHANGED,20.0,-6.0,-6.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-8.5,-13.5,15.5,10.5,-3.0,11.5,20.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,20.0,4.0,-322.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-08.0-D-05.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-8.0,0.0,2020_UNCHANGED,20.0,-5.0,-5.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-7.5,-12.5,15.5,10.5,-2.0,11.5,18.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,18.0,4.0,-296.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-08.0-D-04.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-8.0,0.0,2020_UNCHANGED,20.0,-4.0,-4.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-6.5,-11.5,15.5,10.5,-1.0,11.5,16.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,16.0,4.0,-270.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
S1-Y-B-08.0-D-03.0,STAGE_1_Y_POSITION_ONLY,COARSE_1.00_MM,-8.0,0.0,2020_UNCHANGED,20.0,-3.0,-3.0,V008_BASELINE_INWARD,STANDARD_RESERVED,-5.5,-10.5,15.5,10.5,0.0,11.5,14.0,8.5,290.0,145.0,-145.0,1,0,0,0,0,8,7,0,14.0,4.0,-244.0,FAIL,BELT_WIRING_LT_15;NONZERO_INTERSECTION;PTO_NOMINAL_LT_13;PTO_RESIDUAL_LT_8;PULLEY_FIXED_LT_10
